word,synonym,meaning,example,video,
fiance,,,"I'd like you to meet Irene, my fiance.",https://youtu.be/xz90opyKoEI?t=1s,
fiance,,he woman who someone is engaged to be married to,"I even bought a pearl necklace for my fiance, Kate Tender, but she married somebody else instead.",https://youtu.be/VigZTxwayco?t=1s,
Word -fiasco,,a complete failure:,"The entire political campaign was a fiasco, and at the end he drew only 30% of the votes.",https://www.youtube.com/embed/6i5f2eLpZVg,
fib,,,Have you been telling fibs about me?,https://youtu.be/1SZweQ5_Odo?t=2s,
fibre,,a thread-like part made from plants or artificial material which can be made into products,They use lightweight carbon fiber for auto bodies.,https://www.youtube.com/embed/u4ONqWBFClE,
fibreglass,,"a strong, light material made by twisting together small threads of glass and plastic, used especially for structures such as cars and boats:",a fibreglass hull/speedboat,https://www.youtube.com/embed/zzQtYC1to5A,
fickle,,likely to change your opinion or your feelings suddenly and without a good reason:,He criticized the fickle behavior of football fans who cheer you one week and boo you the next.,https://www.youtube.com/embed/9MsZGW7mOyo,
fiddle (about/around) with sth,,to make small changes to something to try to make it work,Stop fiddling about with your hair - it looks fine.,,
fiddle,a violin,,I love the music of fiddle,https://youtu.be/AA8OMMNfmko?t=4s,
fiddle,,to move things around or touch things without a particular purpose,He stood there fiddling with his keys.,https://youtu.be/AA8OMMNfmko?t=5s,
take the gloss off  something,Damaging and spoiling,,The bad weather really took the gloss off our trip to the zoo.,,
gloss over  sth,discursive,,She glossed over the company's declining profits,,
glossy,smooth and shiny,,"He has straight, glossy black hair.",https://www.youtube.com/embed/ddqaC6j0fBc,
Word -glossy magazine,Newspapers & magazines,,"The first issue, a 96-page, color, glossy magazine, appeared in spring 1994.",,
glove compartment,,,,https://youtu.be/hSthv1MIZok?t=3s,
gloved,buttonhole,,She held out a gloved hand.,https://youtu.be/uKJricTTOkg?t=5s,
glove   puppet,Toys & dolls,,Generally a hand or glove puppet should talk a lot.,https://youtu.be/PPFzZHjD2Ik?t=2s,
be glowing,"bright, shining, radiant,",,he received a glowing report from his teachers,https://youtu.be/iqUIVxuvfz8?t=4s,
glower,to look angry or annoyed,,Grant glowered at the kids crossing his lawn.,https://youtu.be/tGEBiKQG3LY?t=1s,
glow-worm,Insect names,,Glow worm are harmful for plants.,https://www.youtube.com/embed/vsr9MhwPKe8,
be glued to sth,agog,,We were glued to the television watching the election results come in.,,
glue ear,,,"Over half of all children in Britain get glue ear at some time before they are 16, and it can lead to permanent hearing loss",,
gluey,,"Glues, gluing & stickiness",You'd better wash those gluey hands of yours.,,
glum,,Feeling sad and unhappy,He's very glum about the company's prospects.,https://youtu.be/mEZw5iluNlo?t=1s,
glut,avalanche,,The fall in demand for coffee could cause a glut on/in the market.,https://www.youtube.com/embed/sDo-cM9fvgc,
glutinous,adhesion,,"Heavy rain can wash the fibrils off the cap surface, leaving a sticky, glutinous layer behind.",https://youtu.be/TflO8i_vzxI?t=1s,
glutton,,Greedy,What a glutton %uFFFD he ate a whole pizza by himself.,https://youtu.be/RzD4jGAqHwk?t=1s,
be a glutton for sth,attached,,Sophie is a glutton for books.,,
be a glutton for punishment,,Taking pleasure in something,"He's a real glutton for punishment, taking on all that extra work without getting paid for it.",https://youtu.be/ZTm42y3zWGQ?t=3s,
glycerine,acrylamide,,He had never at any time handled nitro-glycerine.,https://www.youtube.com/embed/XBrr-mTgD8k,
GM food,Genetics,,Agricultural companies have failed to convince consumers that GM foods are safe.,,
gnarled,,"Rough, irregular and uneven","The old man drew a long, gnarled finger across his throat.",https://www.youtube.com/embed/0NW4ExtSel8,
gnash your teeth,,Squeezing and grinding,Petersen is gnashing his teeth over his inability to prove his innocence.,,
gnashing of teeth,,Complaining,There has been much gnashing of teeth about the proposal to close the hospital.,,
gnat,,Insect names,"You have the camel, you ought not to strain at the gnat.",https://www.youtube.com/embed/YrVrp6cE5Xw,
gnaw,"Biting, chewing & swallowing",,The cat began to gnaw at the towel beneath him.,https://youtu.be/ru8aUxo8xIA?t=2s,
gnaw FEEL WORRIED,,"Making people sad, shocked and upset",The feeling that I've forgotten something has been gnawing at me all day.,https://youtu.be/ru8aUxo8xIA?t=2s,
gnaw away at sth,Damaging and spoiling,,Bad debts are continuing to gnaw away at the bank's profits.,,
gnawing,,"continuously uncomfortable, worrying, or painful","After three days, we felt an agonizing, gnawing hunger.",https://youtu.be/a6odx0zLJLA?t=1s,
gneiss,basalt,,"The range is composed of schist, granite, and gneiss.",https://youtu.be/R7cf_F4bqrw?t=2s,
gnocchi,Pasta,,Gnocchi made a cheap and hearty meal.,https://youtu.be/ig2gpl9nfSg?t=2s,
Gnomes of Zurich,,"a term first used by British Labour party ministers in the 1960s, when the pound was losing value, to refer to Swiss bankers and the power and influence with which they control foreign money",,,
gnomic,,Not saying much,Peter is always coming out with gnomic utterances/pronouncements.,https://youtu.be/jIvjEBjsh3c?t=3s,
gnu,Deer & antelope,,We su at saw many gnu at our africa saffery.,https://youtu.be/nnozCP9VuUE?t=1s,
Word -where has/have  sth  gone?,General words for movement,said when you cannot find something,Where have my keys gone?,,
to go,,,"If you say that there are a particular number of things to go, you mean that they still remain to be dealt with.",https://youtu.be/FwUr_kZVH4Y?t=7s,
be going to  do/be sth,,to intend to do or be something in the future,Are you going to go to Claire's party?,,
Word -as...go,,"in comparison with most other things of a particular type, especially when you do not think that type of thing is very good","It was quite a good film, as horror films go.",,
go to prove/show,,to prove that something is true:,Your daughter's attitude only goes to prove how much society has changed over the last 30 years.,,
be gone on  sb,,Loving and in love,Nicky's really gone on Marty.,,
go and...,,used to express disapproval of something that is done,Mike's really gone and done it now - he'll be in terrible trouble for breaking that window.,,
go for it,all-out,to do anything you have to in order to get something,I'm thinking of applying for that job. Go for it!,,
go it alone,,Unaided and working alone,I decided to go it alone and set up my own business at home.,,
sth  gone mad,,,,,
have sth going for you,Advantage and disadvantage,,"They've got a happy marriage, great careers, wonderful kids - in fact they've got everything going for them.",,
not go there,to not start to think about or discuss a subject,Neglecting and ignoring,Then there's the guilt I feel about leaving her for seven hours every day. Don't even go there!,,
the same/that goes for  sb/sth,,,,,
What are you going to do?,Not hopeful,,what are going do now after quiting the job?,,
Gob,to not say anything,,You'd better keep your gob shut about what happened.,https://youtu.be/B8gib1QZ-BU?t=2s,
gobbet,,Words meaning small pieces and amounts,"The stitching of his scalp has left great black, rough stitches over the front and a gobbet of brain protruding behind.",,
impasse,genie,,We have reached an impasse in the negotiations -- neither side will budge.,https://youtu.be/XQQY9iqBFFM?t=7s,
impassioned,affective,,Relatives of the dead made an impassioned plea for the bodies to be flown back to this country.,https://youtu.be/LEAOWRaf0r0?t=2s,
impassive,belie,,"He is an aloof, impassive, and ruthless man.",https://youtu.be/8eBvo_JFoqU?t=1s,
impatient,,easily annoyed by someone's mistakes or because you have to wait,"Don't be impatient, you'll get your turn.",https://youtu.be/AbxxV1KG3Uo?t=2s,
impeccable,perfect,,His English is impeccable.,https://www.youtube.com/embed/FNc8Z-ybCSI,
impecunious,poor,,He was an impecunious student and had difficulties in paying the fees and his tailor's bills.,https://youtu.be/jekr6V7WJRc?t=3s,
impede,avoid,,"Although he's shy, it certainly hasn't impeded his career in any way.",https://youtu.be/-LnvzHz6rHk?t=1s,
impedimenta,Preventing and impeding,,"We were weighed down with sleeping bags, gas cookers and pans - all the impedimenta of camping",https://youtu.be/Lqbw_UFvWfY?t=2s,
impel,bulldoze,,"When I see them eating, I feel impelled to eat, too.",https://youtu.be/t2M1qqZFVdQ,
impending,About to happen,,The player announced his impending retirement from international football.,https://youtu.be/eOLr7T2Vhj4?t=1s,
impenetrable,crystal,,"Through the process of decoding, a critical perspective can be reached on the reality previously perceived as impenetrable",https://youtu.be/D5JvLzhicEo?t=2s,
impenitent,belie,,To this day she remains impenitent about her criminal past,https://youtu.be/uR6fnhMRrpQ?t=2s,
imperative,urgent,,It is imperative that these medical supplies be delivered immediately,https://www.youtube.com/embed/gP1SQxIrpo4,
imperceptible,,blur,"When they brought her in to the emergency room, her breathing was imperceptible",https://youtu.be/toIAsdhLNok?t=2s,
imperfection,Faults and mistakes,,Gradually she began to notice one or two little imperfections in his character,https://youtu.be/s7CpjW2NRNE?t=4s,
imperial,autonomous,,The glittering ceremony conjured up images of Russia's imperial past.,https://www.youtube.com/embed/FN9GC6Pw0q4,
imperial,,,Imperial units have in many cases been replaced by metric ones in Britain.,https://www.youtube.com/embed/FN9GC6Pw0q4,
imperil,,Taking risks,Withdrawing the medical team would imperil the effort to control the spread of malaria.,https://www.youtube.com/embed/FN9GC6Pw0q4,
imperious,,Showing arrogance,"She was a very imperious, arrogant woman.",https://www.youtube.com/embed/JpuzidDHOxM,
imperishable,,Continuous & permanent,The one does not take part in the flowing of time so it is imperishable.,https://youtu.be/flrL_gS6kRw?t=2s,
impermanent,Temporary,,Acrylic paint is quick-drying but impermanent.,https://www.youtube.com/embed/7U4P2dyHJ18,
impermeable,acid,an impermeable membrane,They account for an impermeable surface which is up to three times that of the building footprint.,https://youtu.be/e72Yd6vLoy8?t=2s,
impermissible,Forbidding and banning things,,There are certain topics of conversation that are impermissible in polite society.,https://www.youtube.com/embed/EDeoiSgHF4E,
impersonal,abrasively,,"The congressman gave a short, impersonal speech and left soon afterward.",https://youtu.be/LwnZpYB9NG0?t=2s,
impersonate,blueprint,,He was charged with impersonating a police officer.,https://www.youtube.com/embed/NVHoi_pbzEc,
impertinent,rude,,Don't be impertinent %uFFFD you're in no position to tell your boss what to do.,https://www.youtube.com/embed/dc3b9KRgLZ4,
imperturbable,Calm and relaxed,,He was the personification of intrepid gallantry and imperturbable courage.,https://www.youtube.com/embed/sn1549x2DTE,
impervious,acid,,How does glue bond with impervious substances like glass and metal?,https://youtu.be/MTfLvx9LRrc?t=5s,
impervious,constraint,,He is impervious to criticism and rational argument.,https://youtu.be/MTfLvx9LRrc?t=5s,
impetigo,,bedsore,One patient developed local impetigo (minor infection).,https://www.youtube.com/embed/1PUqMF5C__I,
impetuous,,daredevil,"Then, impetuous as I was, I bought a new car before I even got a job.",https://youtu.be/AAX_JvHvsao?t=3s,
impetus,,,Often the impetus for change in education has had to come from outside the school establishment.,https://www.youtube.com/embed/AAX_JvHvsao,
impiety,earthly,,The Church accused him of impiety and had all his writings burned.,https://youtu.be/5YIJ6qI_4X8?t=2s,
impinge on/upon sb/sth,Limiting and restricting,,The government's spending limits will seriously impinge on the education budget.,https://youtu.be/EpbNSuwNa2k?t=2s,
impish,devilish,,He had an impish grin on his face.,https://youtu.be/V9SY3klTZdk?t=2s,
implacable,stopped,,"Sacrifice, patience, understanding, and implacable purpose may be our lot for years to come...",https://youtu.be/2yNecIPPygA?t=4s,
implant,Medical treatment: surgery,,The owner's name and address is stored on a microchip and implanted in the dog's body.,https://youtu.be/AiMasSAMjUk?t=3s,
implant,,,There is much debate on the issue of therapists implanting false memories of sexual abuse in adults.,https://youtu.be/AiMasSAMjUk?t=3s,
implausible,,"difficult to believe, not probable","The plot of the movie, involving a 23-year-old brain surgeon, is implausible to begin with.",https://www.youtube.com/embed/3S_QmSP3CP0,
implicate,,,A lot of people were implicated in the scandal.,https://youtu.be/9gIPlKewR6g?t=4s,
implicit,explicit,,Some reporters thought there was an implicit threat in the president's speech.,https://youtu.be/ZRdDd_nz52Y,
implicit,Complete and whole,,All her life she had implicit faith in socialism.,https://youtu.be/ZRdDd_nz52Y,
implode,Exploding and erupting,,Their economy is in danger of imploding.,https://www.youtube.com/embed/C0pSFQKO07k,
implore,,Making appeals & requests,She implored him not to leave her.,https://youtu.be/2fQUykKrZk8?t=2s,
imply,,,Democracy implies free elections.,https://www.youtube.com/embed/1NuL-AFaZIg,
impolitic,Stupid and silly,,I thought it impolitic to ask any questions about her ex-husband.,https://youtu.be/RHE0r-xenKw?t=2s,
imponderable,,Difficult to understand,There are too many imponderables to make an accurate forecast.,https://www.youtube.com/embed/r38qu4q5lj4,
importation,,,He opposed efforts to allow the importation of prescription drugs from other countries.,https://www.youtube.com/embed/1tH9QirGksU,
importunate,,Making appeals & requests,Need the tribe of interviewers be so importunate?,https://youtu.be/xjz0448jYOQ?t=1s,
imposition,,Inconvenience,Would it be too much of an imposition to ask you to pick my parents up from the airport?,https://www.youtube.com/embed/bE-sGHhJaNw,
keep (sb/sth) away,Preventing and impeding,,Keep away from the edge of the cliff.,,
keep (sth/sb) back,Preventing and impeding,,Barriers were built to keep back the flood water.,,
keep something back,Keeping and storing things,,I always keep something back the bad things of my life.,,
keep something back ( Not tell),Secrecy and privacy,,I suspect she's keeping something back.,,
keep something down,,Vomiting & feelings of sickness,On the day after her operation she couldn't keep anything down.,,
keep something down (SIZE),,Limiting and restricting,We need to work hard to keep our prices down.,,
keep sth down,,to control the size or number of something and prevent it from increasing,"To have any chance against the competition, we need to keep our prices down.",,
keep from doing something,Preventing and impeding,,I couldn't keep from smiling when she told me what she'd done,,
keep sb/sth from sth,,to prevent someone or something from doing something,Try to keep the children from throwing food all over the floor,,
keep sth from sb,,to not tell someone about something,He says it's alright but I think he's keeping something from me.,,
keep sb in,"to make a child stay inside as a punishment, or to make someone stay in hospital",,They kept her in overnight for observation.,,
keep in with sb,,"to continue to try to be friendly with someone, especially because they can help you","I like to keep in with my ex-employer, you never know when you might need a reference.",,
keep (sb/sth) off sth,,"to not go onto an area, or to stop someone or something going onto an area",There was a notice saying Keep off the grass,,
keep sth off (sb/sth),,to stop something touching or harming someone or something,Wear a hat to keep the sun off (= to prevent it harming your skin).,,
keep (sb) off sth,Diets & dieting,"to not eat, drink, or use something that can harm you, or to stop someone else from doing this",The doctor told me to keep off fatty foods.,,
keep off sth,,Quoting & making references,"If you keep off a particular subject, you avoid talking about it",,
keep on doing sth,,"to continue to do something, or to do something again and again",She kept on asking me questions the whole time,,
keep on,,to continue to talk in an annoying way about something,"Don't keep on, I'll sort it out in a minute.",https://youtu.be/zSS3SNaRh3s,
keep (sb/sth) out,,"to not go in a place, or to stop someone or something from going into a place",Building work in progress. Keep out!,,
keep (sb/sth) out of sth,,"to avoid becoming involved in something, or to stop someone or something becoming involved in something",I prefer to keep out of arguments about money,,
keep to somewhere,,to stay in one particular area,Please keep to the footpaths.,,
keep sth to sth,Limiting and restricting,"If you keep something to a particular number or amount, you make certain it does not become larger than that",,,
keep sth to yourself,,to keep something secret,"I don't want everyone to know, so if you could keep it to yourself I'd appreciate it.",,
keep (yourself) to yourself,,to not talk to other people very much,He's a very private person - he keeps (himself) to himself.,,
keep to sth (plan),,to do what you have promised or planned to do,I think we should keep to our original plan.,,
keep to sth (SUBJECT),Limiting and restricting,"if you keep to a particular subject, you only talk about that subject",For heaven's sake let's keep to the point or we'll never reach any decisions.,,
keep sth up,,to make something continue at its present level and not allow it to fall,You must eat to keep your strength up.,,
keep up appearances,pretending,"to pretend to be happier, less poor, etc. than you really are, because you do not want people to know how bad your situation is",They were very unhappily married but kept up appearances for the sake of their children.,,
keep sth up,,to make something continue at its present level and not allow it to fall,You must eat to keep your strength up.,,
keep it up,,used to encourage someone to continue doing something,You're doing very well everybody. Keep it up!,,
keep up,,to stay level or equal with someone or something,You run too fast %uFFFD I can't keep up.,,
keep up (with sb/sth),,to do whatever is necessary to stay level or equal with someone or something,He started to walk faster and the children had to run to keep up.,,
keep(LIVING EXPENSES),,"the cost of providing food, heating, and other necessary things for someone",He's old enough now to earn his keep and stop living off his parents.,https://www.youtube.com/embed/xu4M_M2w55s,
keep(TOWER),Fortifications,the strong main tower of a castle,We have a big keep on our house,https://www.youtube.com/embed/xu4M_M2w55s,
keep-fit,,"physical exercises to keep your body healthy, often done regularly with other people",a keep-fit class,https://www.youtube.com/embed/xu4M_M2w55s,
in your keeping,,"If something is in your keeping, you are taking care of it",,,
in safe keeping,,being carefully taken care of,I left my son in safe keeping with my mother,,
in/out of keeping (with sth),Suitable,suitable or not suitable for a particular situation,"In keeping with tradition, they always have turkey on Christmas Day",,
keepnet,Hunting & fishing,a cone-shaped net that is put in a river and used for keeping fish alive after they have been caught,we use keepnet for fishkeeping.,https://www.youtube.com/embed/K_q03p7HGqM,
Word -for keeps,for ever,,"Do you want it back? No it's yours, for keeps",,
keepsake,"Remembering, reminding and reminders",,Her aunt gave her a little wooden elephant as a keepsake.,https://www.youtube.com/embed/gDfADK_YF34,
keg,,a small barrel (= container with a circular top and bottom and curved sides),,https://www.youtube.com/embed/rwU2YeYGuq4,
kelp,,"a large, brown plant that grows in the sea, used in some foods and medicines","The egg attacks the monkey by exploding, the kelp slips from under his foot.",,
beyond your ken,,not in your area of knowledge,"Financial matters are beyond my ken, I'm afraid.",,
ken,,to know someone or something,,https://www.youtube.com/embed/fJv3GNhE9kk,
kennel,,a place where animals are bred and trained and where people pay to leave their dogs to be taken care of while they are away,We left our dog at the kennel when we went away.,https://www.youtube.com/embed/QWHpT5vCcIY,
kerb,,the edge of a raised path nearest the road,,https://www.youtube.com/embed/KoP5OarKVUE,
kerb-crawling,,the activity of driving slowly along a road close to the path at the side in order to ask prostitutes for sex,,https://youtu.be/fIYElvlrVXI,
kerbside,Road surfaces & features,the area near where a road and the raised path next to it join,"When a road is badly pitted, water collects at the kerbside in wet weather and cannot drain away properly.",https://youtu.be/Gl8O7DY2Mgs,
kerchief,,a square piece of cloth worn on the head or around the neck,"The scarf, formerly known as the kerchief, was also worn.",https://www.youtube.com/embed/bGS_T9BeAqA,
kerfuffle,Noise,"noise, excitement, and argument",Her glasses were broken in the kerfuffle.,https://www.youtube.com/embed/WsTXzcjCZpg,
kernel,,the part of a nut that is inside the shell and can be eaten,,https://www.youtube.com/embed/XyKeaW8XBxU,
kernel(IMPORTANT PART),,Important and essential things,There is often a kernel of truth in what they say.,https://www.youtube.com/embed/XyKeaW8XBxU,
kestrel,,Birds of prey,"Kestrel, meanwhile, faints with exhaustion on her journey.",https://www.youtube.com/embed/6CfijuZR8jQ,
Word -ketchup,,"a thick, red sauce made from tomatoes that is eaten on other foods",Do you want ketchup for your French fries?,https://www.youtube.com/embed/Y8y28H4T0Eg,
put the kettle on,,to start to boil water in a kettle,I think this kettle is defunct!,https://youtu.be/P3OrEJAE38E,
be another/a different kettle of fish,Being and appearing different,,Having knowledge is one thing but being able to communicate it to others is another kettle of fish.,,
a pretty/fine kettle of fish,,,we are facing a fine kettle of fish situation.,,
kettledrum,,Musical instruments,The kettledrum sticks were kept in the kurin with the assigned dovbysh.,https://www.youtube.com/embed/IXExU0Y8RiM,
Kevlar,,Textiles made from man-made fibres,Helmets and bulletproof vests are often made out of Kevlar.,https://youtu.be/1dw7mlzMSE0,
the key to sth,,,,,
key sth in,,"to put information into a computer, phone, or other machine using a keyboard or touchscreen","I keyed the number in, but nothing happened.",,
key sth to sb/sth,,to arrange or plan something so that it is suitable for a particular person or situation,The books are keyed to the interests of very young children.,,
keyboarder,Operating computers,someone whose job is to put information into a computer using a keyboard,We are looking for one or more keyboarders to join our busy editorial team.,https://www.youtube.com/embed/4muezwVZwrE,
keyboardist,,a person who plays an electronic musical instrument that has a keyboard,"He is a drummer, bassist, percussionist, keyboardist and a trumpet player.",https://www.youtube.com/embed/hrXJPYZzcFw,
keycard,Building: locks & locksmithing,"a small, plastic electronic card that is used instead of a key to open a door","She sets the keycard down, and picks up a watering can.",https://www.youtube.com/embed/GvmukXuMnzw,
keyed up,,excited or nervous:,She was too keyed up to sleep.,https://www.youtube.com/embed/1gA4m1jIZ7s,
key money,,"a payment demanded by the owner of a house, apartment, etc. from the person who is going to rent it",here will he no restrictions on landlords asking for deposits or key money.,https://www.youtube.com/embed/E_Q8IT85FA8,
keynote,,Important and essential things,Luxury is the keynote here.,https://www.youtube.com/embed/icrRnxuFChk,
keypad,,"a small set of keys with numbers on them used to operate a television, phone, calculator, etc., or the keys with numbers on them usually found on the right side of a computer keyboard","There are dedicated music keys on the front, which slide down to reveal the keypad.",https://www.youtube.com/embed/TZbhm2-8poI,
key signature,,the symbols at the beginning of a printed piece of music that show the sharps or flats to be played,F-sharp is the key center despite the key signature.,https://www.youtube.com/embed/V10a-zYEDdw,
keystone(STONE),,he middle stone in the top of an arch that has a special shape and holds all the other stones in position,"Selling overseas has been, and always will remain, one of the keystones of our national prosperity.",https://www.youtube.com/embed/rZ2oh_0rXb8,
keystone(IMPORTANT PART),Important and essential things,"the most important part of a plan, idea, etc. on which everything else depends",The doctrine taught in them is that the irresistible development of democracy is the keystone of the modern situation.,https://www.youtube.com/embed/rZ2oh_0rXb8,
khaki,,"a pale yellow-brown color, or a type of cloth that is this color and is often used to make uniforms for soldiers",I bought a new pair of summer khakis (= pants made of this cloth).,https://www.youtube.com/embed/unInEIoENIk,
put the kibosh on sth,,to spoil or destroy an idea or plan,The rain certainly put the kibosh on our plans for a picnic.,,
be kicking yourself/could have kicked yourself,,used to say that you are very annoyed with yourself because you have done something stupid or missed a chance,They must be kicking themselves for selling their shares too early.,,
kick sb upstairs,,"to give someone a new job that seems more powerful but is really less powerful, usually in order to stop them causing trouble for you","He was a lousy salesman, so he was kicked upstairs to a desk job.",,
kick off FOOTBALL,,to begin,What time does the game kick off?,https://www.youtube.com/embed/-GZyxqklqI4,
kick off COMPLAIN,,,The matter has been kick off by the people of the area.,https://www.youtube.com/embed/-GZyxqklqI4,
kick (sth) off,,"If you kick off a discussion or an activity, you start it","Right, any suggestions? Jim, you kick off.",,
kick(HIT),,"to hit someone or something with the foot, or to move the feet and legs suddenly and violently",I kicked the ball as hard as I could,https://www.youtube.com/embed/Pio_pRUBeL4,
kick STRONG FEELING,,a strong feeling of excitement and pleasure,I get a real kick out of winning a race.,https://www.youtube.com/embed/Pio_pRUBeL4,
kick INTEREST,,"a new interest, especially one that does not last long",He's on an exercise kick (= he exercises a lot) at the moment.,https://www.youtube.com/embed/Pio_pRUBeL4,
kick in the teeth,,"If you describe the way someone treats you as a kick in the teeth, you mean that that person treats you badly and unfairly, especially at a time when you need their support","She was dismissed from her job, which was a real kick in the teeth after all the work she'd done.",,
kickback,,"payment made to someone, esp. illegally, for providing help, a job, or a piece of business",Bankhead got a contract to supply computers to the department in exchange for a kickback.,https://www.youtube.com/embed/WNVG2RBwF1k,
kickboxing,,Fighting sports,In 1985 when he was 18 he started weight training and kickboxing.,https://www.youtube.com/embed/49JGv8hI1Sk,
kick off,,to begin,The three-day celebration kicks off tomorrow with a parade.,https://www.youtube.com/embed/-GZyxqklqI4,
kick-start (MOTORCYCLE),,to make the engine of a motorcycle start by forcefully pushing down a metal bar with your foot,,https://www.youtube.com/embed/tzhyxg4_vd0,
kick-start (HELP),,to make something start to happen,Taxes were drastically cut in an attempt to kick-start the economy.,https://www.youtube.com/embed/tzhyxg4_vd0,
sb's kid sister/brother,,someone's younger sister or brother,She knows the name of every kid in the school.,,
be like a kid in a candy store,,"to be very happy and excited about the things around you, and often react to them in a way that is silly and not controlled",You should have seen him when they arrived. He was like a kid in a candy store.,,
handle/treat sb with kid gloves,,Paying attention and being careful,,,
kid yourself,,"If you kid yourself, you believe that something you want to be true is true although it probably is not","He thinks she'll come back, but I think he's kidding himself.",,
no kidding,,really or honestly,"No kidding, there were about a hundred people at Latisha's party.",,
kid around,,to be silly or not serious,Stop kidding around and listen to me!,,
kidney bean,,"a small, dark red, edible bean that is shaped like a kidney",The island has the shape of a kidney bean with its concave side facing northeast.,https://youtu.be/MDME21B3DvM,
kidney machine,,a machine used to do the work of a human kidney for people whose kidneys have stopped working or have been removed,A successful transplant not only benefits the patient who receives it but also frees a kidney machine for use by another patient.,,
kids' stuff,,an activity or piece of work that is very easy:,A five-mile bike ride? That's kids' stuff.,,
kidult,,an adult who likes doing or buying things that are intended for children,"Being a self-confessed kidult, I'm loving the current quality of Pop TV.kidult spending power",https://www.youtube.com/embed/vtjCoIJ1nog,
kill sb with kindness,Defending and protecting,"to be too kind to someone, harming that person because you are helping or giving them too much",,,
lay,,having a position in a religious organization that is not a full-time job and is not paid,a lay preacher,https://youtu.be/Nbd9Wyffk94,
layabout,,a person who is unwilling to work,"Rod is a greasy layabout, but underneath his scruffy appearance lies a kind-hearted, genuine guy, who will go out of his way to help anyone in need.",https://www.youtube.com/embed/_OrW9OQ7RPk,
layaway,Renting & hiring,,Could I buy/put the dress on layaway?,https://www.youtube.com/embed/njO8d3818Hw,
Word -lay-by  ROAD,,rest stop,We pulled into a lay-by to look at the map.,https://www.youtube.com/embed/8QOP3KdjhD4,
lay-by (PAYMENT),layaway,,,https://www.youtube.com/embed/8QOP3KdjhD4,
layer cake,Cakes,,The layer cake is foundational.,,
layette,Bed linen & covers,"a complete set of clothes, sheets, bed covers, and the other things needed for a new baby","A layette, baby bottles, a plastic bath tub, and other accessories were available.",https://www.youtube.com/embed/VytbPnGqaJI,
layman,Inexperienced people and lack of experience,someone who is not trained in or does not have a detailed knowledge of a particular subject,,https://www.youtube.com/embed/aJq6tOe9pZk,
layoff,,"an act of ending a worker's job, esp. when the worker has done nothing wrong:",Executives say no layoffs are expected as a result of the merger.,https://www.youtube.com/embed/Gj7m9jsZXJg,
layout,,the way something is designed or arranged:,"His house has three bedrooms and ours has four, but otherwise the layout is much the same.",https://www.youtube.com/embed/jXEqT55c-nA,
layover,,short stay at a place in the middle of a trip:,We had a three-hour layover in San Francisco and had to change planes on the way to Hawaii.,https://www.youtube.com/embed/KIwMuGGsugA,
laze,Passive and not working,"to relax and enjoy yourself, doing very little:",We spent the day lazing around on the beach.,https://www.youtube.com/embed/29PqHsYmKqs,
lazybones,Laziness and lazy people,someone who is lazy,"Hey lazybones, get up from the sofa and help me with the dishes!",https://www.youtube.com/embed/um6KUFSz1Cs,
lazy Susan,,a circular piece of wood or plastic on a base that is put on a table and can be turned around so that everyone can reach the food that is on it,,https://www.youtube.com/embed/hpClM65_UTs,
leach,,"When a chemical substance leaches or is leached from a material, especially soil, it is removed by the action of water passing through the material","The calcium, potassium, and magnesium ions are leached or washed out of the top soil into lower inaccessible subsoil.",https://www.youtube.com/embed/Lkjc2xBbA4I,
lead CONTROL,,"to manage or control a group of people, to be the person who makes decisions that other people choose to follow or obey",Her sister is leading an effort to change this law.,https://www.youtube.com/embed/SMe-96Z043Y,
lead (BE WINNING),,"(especially in sports or other competitions) to be in front, to be first, or to be winning",After 30 minutes the challengers were leading by two goals.,https://www.youtube.com/embed/SMe-96Z043Y,
lead (INFLUENCE),,"to cause someone to do something, especially something bad",It's worrying that such a prominent politician is so easily led.,https://www.youtube.com/embed/SMe-96Z043Y,
lead (SHOW WAY),,"to show the way to a group of people, animals, vehicles, etc. by going in front of them","I don't know the way, so you'd better lead.",https://www.youtube.com/embed/SMe-96Z043Y,
lead the way,,to show the way by going in front:,You've been there before - why don't you lead the way?,https://www.youtube.com/embed/SMe-96Z043Y,
lead (DIRECTION),,"(especially of roads, paths, doors, signs, information, etc.) to go in a particular direction or have a particular result, or to allow or cause this",There's a track that leads directly to the reservoir.,https://www.youtube.com/embed/SMe-96Z043Y,
"Word -lead a busy/normal/quiet, etc. life",,,,,
lead sb a (merry) dance,,"to cause someone a lot of trouble, especially by getting them to do a lot of things that are not necessary",,,
lead sb by the nose,Controlling and being in charge,to control someone and make them do exactly what you want,,,
lead sb up the garden path,,to deceive someone:,It seems as if we've been led up the garden path about the position of our hotel - it's miles from the beach!,,
lead the field/pack/world,Describing the leading position,,Their scientists lead the world in nutrition research.,,
lead sb on,,to persuade someone to believe something that is untrue,"All that time she'd been leading him on (= pretending she liked him), but she was only interested in his money.",,
lead to sth,,"If an action or event leads to something, it causes that thing to happen or exist",Reducing speed limits should lead to fewer deaths on the roads.,,
lead up to sth (HAPPEN),,"If a period of time or series of events leads up to an event or activity, it happens until that event or activity begins:",The pilot had no recollection of the events leading up to the crash.,,
lead up to sth (Talk),,to prepare to talk about something by gradually mentioning the subject you want to talk about,He started telling me about a wonderful new restaurant he'd been to and I wondered what he was leading up to.,,
